sentiment_BR,total_BR,sentiment_BRG1665,sentiment_BRG1666,sentiment_BRG1667,sentiment_BRG1668,sentiment_BRG1669,sentiment_BRG1670,sentiment_BRG1671,sentiment_BRG1672,sentiment_BRG1673,sentiment_BRG1674,sentiment_BRG1675,sentiment_BRG1676,sentiment_BRG1677,sentiment_BRG1678,sentiment_BRG1679,sentiment_BRG1680,sentiment_BRG1681,sentiment_BRG1682,sentiment_BRG1683,sentiment_BRG1685,sentiment_BRG1686,sentiment_BRG1687,sentiment_BRG1688,sentiment_BRG1689,sentiment_BRG1690,sentiment_BRG1691,total_BRG1665,total_BRG1666,total_BRG1667,total_BRG1668,total_BRG1669,total_BRG1670,total_BRG1671,total_BRG1672,total_BRG1673,total_BRG1674,total_BRG1675,total_BRG1676,total_BRG1677,total_BRG1678,total_BRG1679,total_BRG1680,total_BRG1681,total_BRG1682,total_BRG1683,total_BRG1685,total_BRG1686,total_BRG1687,total_BRG1688,total_BRG1689,total_BRG1690,total_BRG1691,year,month,population_total,population_growth_annual_percent,surface_area_sq_km,population_density_people_per_sq_km_of_land_area,poverty_headcount_ratio_at_2_15_a_day_2017_ppp_percent_of_population,gni_atlas_method_current_us,gni_per_capita_atlas_method_current_us,gni_ppp_current_international,gni_per_capita_ppp_current_international,income_share_held_by_lowest_20_percent,life_expectancy_at_birth_total_years,fertility_rate_total_births_per_woman,adolescent_fertility_rate_births_per_1_000_women_ages_15_19,contraceptive_prevalence_any_method_percent_of_married_women_ages_15_49,births_attended_by_skilled_health_staff_percent_of_total,mortality_rate_under_5_per_1_000_live_births,immunization_measles_percent_of_children_ages_12_23_months,school_enrollment_primary_percent_gross,school_enrollment_secondary_percent_gross,school_enrollment_primary_and_secondary_gross_gender_parity_index_gpi,prevalence_of_hiv_total_percent_of_population_ages_15_49,forest_area_sq_km,annual_freshwater_withdrawals_total_percent_of_internal_resources,urban_population_growth_annual_percent,energy_use_kg_of_oil_equivalent_per_capita,co2_emissions_metric_tons_per_capita,electric_power_consumption_k_wh_per_capita,gdp_current_us,gdp_growth_annual_percent,inflation_gdp_deflator_annual_percent,agriculture_forestry_and_fishing_value_added_percent_of_gdp,industry_including_construction_value_added_percent_of_gdp,exports_of_goods_and_services_percent_of_gdp,imports_of_goods_and_services_percent_of_gdp,gross_capital_formation_percent_of_gdp,revenue_excluding_grants_percent_of_gdp,time_required_to_start_a_business_days,tax_revenue_percent_of_gdp,military_expenditure_percent_of_gdp,mobile_cellular_subscriptions_per_100_people,high_technology_exports_percent_of_manufactured_exports,statistical_capacity_score_overall_average_scale_0_100,merchandise_trade_percent_of_gdp,net_barter_terms_of_trade_index_2000_100,external_debt_stocks_total_dod_current_us,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,net_migration,personal_remittances_received_current_us,foreign_direct_investment_net_inflows_bo_p_current_us,net_official_development_assistance_and_official_aid_received_current_us
-0.10795820972526764,7753,-0.02564102564102564,-0.010309278350515464,-0.061224489795918366,-0.1176470588235294,-0.09223300970873786,-0.060714285714285714,-0.02083333333333333,-0.14655172413793102,-0.08074534161490682,-0.08906882591093117,0.0,-0.08661417322834647,-0.10954063604240284,-0.08823529411764706,-0.03981264637002342,-0.13671875,-0.04186046511627907,0.0,-0.13793103448275862,-0.0823327615780446,0.0,-0.2272727272727273,-0.12658227848101267,-0.16226978596316574,-0.04,-0.2727272727272727,39,97,49,170,412,280,240,116,161,247,23,127,1981,34,427,256,215,8,29,583,9,22,158,2009,50,11,2013,1,201721800,0.8683462,8515770,24.13477,3.7,2570000000000,12750,3090000000000,15320,3.5,73.918,1.7480000000000002,63.0646,80.2,98.0,16.7,98,109.9451,103.9177,1.01665,0.5,5069632,1.190697,1.204556,1456.109,2.413423,2560.096,2470000000000,3.004823,7.5045649999999995,4.506886,21.22481,11.742230000000001,14.043729999999998,21.69377,28.651120000000002,86.6,14.12531,1.329446,134.3929,11.96972,75.55556,19.6063,125.7597,484000000000,28.038529999999998,35308,2717675000,75211030000,1155730000
-0.1392174704276615,1099,0.0,-0.14285714285714285,0.0,-0.06896551724137931,-0.09090909090909093,-0.16666666666666666,-0.027777777777777776,-0.047619047619047616,-0.0967741935483871,0.0,-0.16666666666666666,-0.1176470588235294,-0.14782608695652175,0.2,-0.075,-0.11320754716981132,-0.10526315789473684,0.0,-0.4,-0.11578947368421053,0.0,0.0,-0.24489795918367346,-0.21631205673758866,0.0,0.0,7,14,4,29,66,30,36,21,31,45,6,17,230,5,40,53,19,2,5,95,0,3,49,282,7,3,2013,2,201721800,0.8683462,8515770,24.13477,3.7,2570000000000,12750,3090000000000,15320,3.5,73.918,1.7480000000000002,63.0646,80.2,98.0,16.7,98,109.9451,103.9177,1.01665,0.5,5069632,1.190697,1.204556,1456.109,2.413423,2560.096,2470000000000,3.004823,7.5045649999999995,4.506886,21.22481,11.742230000000001,14.043729999999998,21.69377,28.651120000000002,86.6,14.12531,1.329446,134.3929,11.96972,75.55556,19.6063,125.7597,484000000000,28.038529999999998,35308,2717675000,75211030000,1155730000
-0.1053763440860215,930,0.0,0.0,0.0,-0.05,-0.09090909090909093,-0.07407407407407407,-0.05555555555555555,-0.09090909090909093,0.0,0.0,-0.125,-0.2272727272727273,-0.11282051282051282,0.0,-0.061224489795918366,-0.17647058823529413,-0.008695652173913044,0.0,0.0,-0.21505376344086025,0.0,0.0,-0.043478260869565216,-0.15976331360946747,0.0,0.0,1,7,3,20,66,27,36,11,11,28,8,22,195,5,49,34,115,0,0,93,0,2,23,169,4,1,2013,3,201721800,0.8683462,8515770,24.13477,3.7,2570000000000,12750,3090000000000,15320,3.5,73.918,1.7480000000000002,63.0646,80.2,98.0,16.7,98,109.9451,103.9177,1.01665,0.5,5069632,1.190697,1.204556,1456.109,2.413423,2560.096,2470000000000,3.004823,7.5045649999999995,4.506886,21.22481,11.742230000000001,14.043729999999998,21.69377,28.651120000000002,86.6,14.12531,1.329446,134.3929,11.96972,75.55556,19.6063,125.7597,484000000000,28.038529999999998,35308,2717675000,75211030000,1155730000
-0.12956754944686558,17898,-0.061728395061728385,-0.033742331288343565,-0.06896551724137931,-0.10073710073710074,-0.06535947712418301,-0.05689655172413794,-0.1136890951276102,-0.11524163568773235,-0.0798004987531172,-0.08270676691729323,-0.11827956989247312,-0.11312217194570134,-0.10386912490262268,-0.13513513513513514,-0.06296691568836713,-0.15280898876404495,-0.05794392523364486,0.0,-0.15217391304347827,-0.2348565356004251,-0.022727272727272728,-0.03773584905660377,-0.15807560137457044,-0.16960208741030658,-0.03448275862068965,-0.045454545454545456,81,326,116,407,1071,580,431,269,401,532,93,442,3851,74,937,890,535,35,92,2823,44,53,582,3066,145,22,2013,4,201721800,0.8683462,8515770,24.13477,3.7,2570000000000,12750,3090000000000,15320,3.5,73.918,1.7480000000000002,63.0646,80.2,98.0,16.7,98,109.9451,103.9177,1.01665,0.5,5069632,1.190697,1.204556,1456.109,2.413423,2560.096,2470000000000,3.004823,7.5045649999999995,4.506886,21.22481,11.742230000000001,14.043729999999998,21.69377,28.651120000000002,86.6,14.12531,1.329446,134.3929,11.96972,75.55556,19.6063,125.7597,484000000000,28.038529999999998,35308,2717675000,75211030000,1155730000
-0.19188792963023293,12278,-0.13636363636363635,-0.06593406593406594,-0.1139240506329114,-0.08024691358024691,-0.13465346534653466,-0.0855614973262032,-0.12558139534883722,-0.17757009345794392,-0.1523809523809524,-0.14761904761904762,-0.08108108108108109,-0.10909090909090907,-0.16846813268729036,-0.21739130434782608,-0.09075342465753423,-0.23665480427046265,-0.08333333333333333,-0.047619047619047616,-0.2058823529411765,-0.2606863335340157,0.0,-0.15217391304347827,-0.20105820105820105,-0.26673360107095045,-0.02666666666666667,-0.05882352941176471,66,91,79,162,505,374,215,214,315,420,74,330,2683,46,584,562,264,21,68,1661,23,46,378,2988,75,34,2013,5,201721800,0.8683462,8515770,24.13477,3.7,2570000000000,12750,3090000000000,15320,3.5,73.918,1.7480000000000002,63.0646,80.2,98.0,16.7,98,109.9451,103.9177,1.01665,0.5,5069632,1.190697,1.204556,1456.109,2.413423,2560.096,2470000000000,3.004823,7.5045649999999995,4.506886,21.22481,11.742230000000001,14.043729999999998,21.69377,28.651120000000002,86.6,14.12531,1.329446,134.3929,11.96972,75.55556,19.6063,125.7597,484000000000,28.038529999999998,35308,2717675000,75211030000,1155730000
-0.08734222863324917,13865,-0.04477611940298507,-0.027932960893854747,-0.042105263157894736,-0.05703422053231939,-0.056441717791411036,-0.03932584269662921,-0.054580896686159834,-0.085,-0.06179775280898876,-0.0708955223880597,-0.0641025641025641,-0.10240963855421686,-0.09130300216651192,-0.05263157894736842,-0.04642857142857143,-0.07296849087893864,-0.0189873417721519,0.0,-0.1791044776119403,-0.1216,0.0,-0.018518518518518517,-0.11781609195402297,-0.13558106169296988,0.009523809523809523,0.0,67,179,95,263,815,534,513,200,356,536,78,332,3231,57,840,603,474,15,67,1250,26,54,348,2788,105,39,2013,6,201721800,0.8683462,8515770,24.13477,3.7,2570000000000,12750,3090000000000,15320,3.5,73.918,1.7480000000000002,63.0646,80.2,98.0,16.7,98,109.9451,103.9177,1.01665,0.5,5069632,1.190697,1.204556,1456.109,2.413423,2560.096,2470000000000,3.004823,7.5045649999999995,4.506886,21.22481,11.742230000000001,14.043729999999998,21.69377,28.651120000000002,86.6,14.12531,1.329446,134.3929,11.96972,75.55556,19.6063,125.7597,484000000000,28.038529999999998,35308,2717675000,75211030000,1155730000
-0.11678417102569935,8794,-0.13043478260869565,-0.01680672268907563,-0.04166666666666666,-0.109375,-0.09926470588235294,-0.059561128526645774,-0.04329004329004329,-0.11194029850746268,-0.0728744939271255,-0.053763440860215055,0.0,-0.11904761904761905,-0.1432027092404451,-0.07692307692307693,-0.059183673469387764,-0.1331168831168831,-0.031372549019607836,0.0,-0.26666666666666666,-0.12140992167101827,-0.07692307692307693,-0.047619047619047616,-0.12345679012345677,-0.15774514448128849,-0.013333333333333334,-0.29411764705882354,23,119,48,192,544,319,231,134,247,279,60,168,2067,26,490,308,255,8,30,766,13,21,243,2111,75,17,2013,7,201721800,0.8683462,8515770,24.13477,3.7,2570000000000,12750,3090000000000,15320,3.5,73.918,1.7480000000000002,63.0646,80.2,98.0,16.7,98,109.9451,103.9177,1.01665,0.5,5069632,1.190697,1.204556,1456.109,2.413423,2560.096,2470000000000,3.004823,7.5045649999999995,4.506886,21.22481,11.742230000000001,14.043729999999998,21.69377,28.651120000000002,86.6,14.12531,1.329446,134.3929,11.96972,75.55556,19.6063,125.7597,484000000000,28.038529999999998,35308,2717675000,75211030000,1155730000
-0.08071998515494526,10778,-0.075,0.006666666666666667,-0.006211180124223602,-0.10824742268041238,-0.07580645161290323,-0.0625,-0.04651162790697674,-0.128,-0.06944444444444445,-0.017751479289940832,-0.10416666666666667,-0.04608294930875576,-0.09251439539347407,-0.15151515151515152,-0.044189852700491,-0.08676789587852493,-0.012658227848101266,0.0,-0.1951219512195122,-0.07902298850574713,0.0,-0.0625,-0.09389671361502347,-0.10759252193819152,-0.011111111111111113,-0.09090909090909093,40,150,161,388,620,320,301,125,288,338,48,217,2605,33,611,461,316,24,41,696,17,32,213,2621,90,22,2013,8,201721800,0.8683462,8515770,24.13477,3.7,2570000000000,12750,3090000000000,15320,3.5,73.918,1.7480000000000002,63.0646,80.2,98.0,16.7,98,109.9451,103.9177,1.01665,0.5,5069632,1.190697,1.204556,1456.109,2.413423,2560.096,2470000000000,3.004823,7.5045649999999995,4.506886,21.22481,11.742230000000001,14.043729999999998,21.69377,28.651120000000002,86.6,14.12531,1.329446,134.3929,11.96972,75.55556,19.6063,125.7597,484000000000,28.038529999999998,35308,2717675000,75211030000,1155730000
-0.07608446178563233,8714,-0.09375,-0.0891089108910891,0.0,-0.1020408163265306,-0.05672609400324149,-0.024608501118568236,-0.031007751937984492,-0.051369863013698634,-0.05555555555555555,-0.04807692307692308,0.0,-0.06289308176100629,-0.07600732600732599,0.0,-0.04554079696394687,-0.13355048859934854,-0.027586206896551724,-0.05263157894736842,-0.15555555555555556,-0.1018867924528302,0.0,0.0,-0.16346153846153846,-0.1181977764774722,-0.008403361344537815,0.0,32,101,62,196,617,447,258,292,288,312,42,159,2184,20,527,307,290,19,45,530,13,21,104,1709,119,20,2013,9,201721800,0.8683462,8515770,24.13477,3.7,2570000000000,12750,3090000000000,15320,3.5,73.918,1.7480000000000002,63.0646,80.2,98.0,16.7,98,109.9451,103.9177,1.01665,0.5,5069632,1.190697,1.204556,1456.109,2.413423,2560.096,2470000000000,3.004823,7.5045649999999995,4.506886,21.22481,11.742230000000001,14.043729999999998,21.69377,28.651120000000002,86.6,14.12531,1.329446,134.3929,11.96972,75.55556,19.6063,125.7597,484000000000,28.038529999999998,35308,2717675000,75211030000,1155730000
-0.09329680953915566,6206,0.0,-0.05357142857142857,-0.024390243902439025,-0.0603448275862069,-0.0694006309148265,-0.04477611940298507,-0.10648148148148147,-0.06896551724137931,-0.06474820143884892,-0.044198895027624314,-0.05555555555555555,-0.07751937984496124,-0.10968178740690587,-0.14285714285714285,-0.03571428571428571,-0.1020408163265306,0.0,0.0,-0.1935483870967742,-0.1013215859030837,-0.0625,0.0,-0.1259259259259259,-0.12944983818770225,0.0,0.0,11,56,41,116,317,201,216,116,139,181,36,129,1477,35,420,245,208,3,31,454,16,23,135,1545,40,15,2013,10,201721800,0.8683462,8515770,24.13477,3.7,2570000000000,12750,3090000000000,15320,3.5,73.918,1.7480000000000002,63.0646,80.2,98.0,16.7,98,109.9451,103.9177,1.01665,0.5,5069632,1.190697,1.204556,1456.109,2.413423,2560.096,2470000000000,3.004823,7.5045649999999995,4.506886,21.22481,11.742230000000001,14.043729999999998,21.69377,28.651120000000002,86.6,14.12531,1.329446,134.3929,11.96972,75.55556,19.6063,125.7597,484000000000,28.038529999999998,35308,2717675000,75211030000,1155730000
